ID,Work Item Type,Title 1,Title 2,Title 3,Title 4,Assigned To,State,Tags
"399,""Epic"",""Login Page"",,,,,""New"","
"400,""Feature"",,""Prijava korisnika u aplikaciju"",,,,""New"","
"401,""User Story"",,,""Kao korisnik mogu se prijaviti u aplikaciju koristeći svoje podatke"",,,""New"","
"402,""Task"",,,,""Izraditi model za prijavu korisnika"",,""New"","
"403,""Task"",,,,""Izraditi korisničko sučelje za prijavu"",,""New"","
"404,""Task"",,,,""Povezati formu za prijavu s aplikacijskom logikom"",,""New"","
"405,""Task"",,,,""Dodati validaciju obaveznih polja"",,""New"","
"408,""Task"",,,,""Preusmjeriti korisnika nakon uspješne prijave"",,""New"","
"499,""Test Case"",,,,""Uspješna prijava administratora"",""Marko Vukušić 2 <mvukus2@algebra.hr>"",""Design"","
"500,""Test Case"",,,,""Pokušaj prijave bez unosa podataka"",""Marko Vukušić 2 <mvukus2@algebra.hr>"",""Design"","
"406,""User Story"",,,""Kao prijavljeni korisnik mogu se odjaviti iz aplikacije"",,,""New"","
"407,""Task"",,,,""Implementirati mehanizam za pamćenje prijave"",,""New"","
"409,""Task"",,,,""Implementirati funkcionalnost odjave"",,""New"","
"410,""Task"",,,,""Dodati gumb za odjavu u navigaciju"",,""New"","
"411,""Task"",,,,""Preusmjeriti korisnika nakon odjave"",,""New"","
"501,""Test Case"",,,,""Pokušaj odjave"",""Marko Vukušić 2 <mvukus2@algebra.hr>"",""Design"","
"412,""Feature"",,""Zadržavanje prijavljenog korisnika i razlikovanje prava pristupa kod različitih korisnika"",,,,""New"","
"413,""User Story"",,,""Kao prijavljeni korisnik ostajem prijavljen u aplikaciju sve dok se ne odjavim"",,,""New"","
"414,""Task"",,,,""Implementirati mehanizam za pamćenje prijave"",,""New"","
"415,""Task"",,,,""Omogućiti prepoznavanje prijavljenog korisnika na zaštićenim stranicama"",,""New"","
"502,""Test Case"",,,,""Korisnik ostaje prijavljen"",""Marko Vukušić 2 <mvukus2@algebra.hr>"",""Design"","
"416,""User Story"",,,""Kao prijavljeni korisnik korisnik vidim razlike u pravima pristupa sa računom predavača i admina"",,,""New"","
"417,""Task"",,,,""Dodati razlikovanje korisničkih uloga"",,""New"","
"418,""Task"",,,,""Primijeniti uloge na frontend prikaz"",,""New"","
"419,""Task"",,,,""Primijeniti uloge na backend"",,""New"","
"503,""Test Case"",,,,""Kao računi s različitim pravima vidim razlike u mogućnostima"",""Marko Vukušić 2 <mvukus2@algebra.hr>"",""Design"","
"420,""Epic"",""Kolegiji tab"",,,,,""New"","
"421,""Feature"",,""Pregled popisa kolegija"",,,,""New"","
"422,""User Story"",,,""Kao administrator mogu vidjeti popis svih kolegija u sustavu"",,,""New"","
"423,""Task"",,,,""Implementirati dohvat kolegija iz baze"",,""New"","
"424,""Task"",,,,""Izraditi API za dohvat kolegija"",,""New"","
"425,""Task"",,,,""Izraditi frontend prikaz popisa kolegija"",,""New"","
"498,""Bug"",,,,""Greška pri povezivanju predavača i kolegija"",,""New"","
"504,""Test Case"",,,,""Administrator vidi sve kolegije u sustavu"",""Marko Vukušić 2 <mvukus2@algebra.hr>"",""Design"","
"426,""User Story"",,,""Kao predavač vidim isključivo kolegije na kojima predajem"",,,""New"","
"427,""Task"",,,,""Implementirati filtriranje kolegija prema prijavljenom predavaču"",,""New"","
"428,""Task"",,,,""Povezati korisnike i kolegije u bazi"",,""New"","
"429,""Task"",,,,""Prikazati filtrirane podatke na frontendu"",,""New"","
"505,""Test Case"",,,,""Kao predavač vidim samo kolegije na kojima ja predajem"",""Marko Vukušić 2 <mvukus2@algebra.hr>"",""Design"","
"430,""Feature"",,""Pregled detalja i uređivanje kolegija"",,,,""New"","
"431,""User Story"",,,""Kao korisnik mogu otvoriti detalje kolegija i vidjeti informacije o njemu"",,,""New"","
"432,""Task"",,,,""Implementirati dohvat jednog kolegija"",,""New"","
"433,""Task"",,,,""Izraditi stranicu detalja kolegija"",,""New"","
"506,""Test Case"",,,,""Otvaranje detalja postojećeg kolegija"",""Marko Vukušić 2 <mvukus2@algebra.hr>"",""Design"","
"434,""User Story"",,,""Kao administrator mogu dodavati i uređivati kolegije"",,,""New"","
"435,""Task"",,,,""Implementirati backend funkcionalnost za dodavanje kolegija"",,""New"","
"436,""Task"",,,,""Izraditi formu za dodavanje kolegija"",,""New"","
"437,""Task"",,,,""Dodati validaciju podataka kolegija"",,""New"","
"438,""Task"",,,,""Spremiti kolegij i prikazati potvrdu korisniku"",,""New"","
"439,""Task"",,,,""Implementirati backend uređivanje kolegija"",,""New"","
"440,""Task"",,,,""Ažurirati povezane predavače kolegija"",,""New"","
